iter	RMSE
0	4521.238636
1	4460.127401
2	4401.180389
3	4342.063211
4	4286.176462
5	4231.33137
6	4177.344284
7	4127.012263
8	4076.250505
9	4027.585377
10	3980.661724
11	3934.666838
12	3889.634129
13	3845.599648
14	3802.949237
15	3761.967167
16	3723.005901
17	3683.638583
18	3646.279118
19	3610.128022
20	3575.356873
21	3541.05004
22	3505.284873
23	3470.527062
24	3438.5449
25	3405.888516
26	3374.968892
27	3345.413524
28	3316.37789
29	3287.403466
30	3260.480376
31	3234.360962
32	3207.308711
33	3182.676229
34	3157.226367
35	3133.196542
36	3110.80627
37	3087.958847
38	3064.676455
39	3043.824897
40	3022.91041
41	3002.377685
42	2982.309763
43	2962.661941
44	2941.48885
45	2921.974492
46	2904.427817
47	2887.785551
48	2871.394657
49	2854.945231
50	2837.451747
51	2820.377129
52	2805.363229
53	2791.195
54	2777.316906
55	2761.949769
56	2746.098623
57	2732.746051
58	2719.167065
59	2707.262979
60	2693.324045
61	2680.834369
62	2667.233293
63	2655.710616
64	2643.537819
65	2631.871275
66	2620.497447
67	2609.189258
68	2598.869637
69	2588.424855
70	2578.399774
71	2568.050874
72	2557.356938
73	2547.128177
74	2537.276797
75	2528.087623
76	2519.103593
77	2509.348709
78	2501.056928
79	2492.239313
80	2483.790434
81	2475.034226
82	2466.846731
83	2458.699754
84	2450.320643
85	2442.80594
86	2434.948688
87	2426.825005
88	2419.932015
89	2412.860361
90	2405.777472
91	2399.491091
92	2392.745917
93	2386.719458
94	2380.606492
95	2374.77816
96	2368.740259
97	2363.159187
98	2357.258266
99	2351.720437
100	2345.337535
101	2340.373559
102	2335.080871
103	2330.00329
104	2324.579662
105	2319.459394
106	2314.132794
107	2309.595816
108	2304.930322
109	2300.047356
110	2295.883506
111	2291.247347
112	2286.815381
113	2283.001348
114	2278.696997
115	2274.59179
116	2269.709926
117	2265.366432
118	2261.42
119	2257.229747
120	2253.155777
121	2249.322262
122	2245.526662
123	2241.919793
124	2237.791999
125	2233.548382
126	2230.607807
127	2227.148745
128	2223.660438
129	2220.355666
130	2217.188564
131	2213.91154
132	2211.115098
133	2208.027316
134	2204.828275
135	2202.213537
136	2199.558066
137	2197.074413
138	2193.79703
139	2191.030495
140	2188.731293
141	2185.816646
142	2182.925623
143	2179.9273
144	2177.540255
145	2174.716158
146	2171.944236
147	2168.928212
148	2166.286496
149	2163.781891
150	2161.461244
151	2159.34311
152	2157.166686
153	2154.798863
154	2152.589736
155	2150.152184
156	2148.195004
157	2146.490238
158	2144.207975
159	2141.994027
160	2140.032653
161	2137.854767
162	2136.098387
163	2134.060651
164	2132.043315
165	2130.072666
166	2127.838387
167	2126.010611
168	2124.269467
169	2122.373492
170	2120.555517
171	2118.637844
172	2116.727588
173	2115.003607
174	2113.599458
175	2111.828708
176	2110.055454
177	2108.556639
178	2106.676307
179	2105.148597
180	2103.478948
181	2101.863142
182	2100.360874
183	2098.957918
184	2097.365975
185	2095.636539
186	2093.865187
187	2092.676066
188	2091.122109
189	2089.738395
190	2088.618213
191	2087.58133
192	2086.417208
193	2084.758838
194	2083.327082
195	2081.545727
196	2080.290909
197	2079.32995
198	2078.060725
199	2076.956829
200	2075.708891
201	2074.714549
202	2073.397252
203	2072.067687
204	2070.770097
205	2069.454877
206	2068.442986
207	2067.300322
208	2066.02972
209	2064.970212
210	2064.045416
211	2062.892261
212	2061.821201
213	2060.898041
214	2059.857058
215	2059.016039
216	2058.062863
217	2057.17934
218	2056.037775
219	2055.012791
220	2054.113292
221	2053.206314
222	2052.423838
223	2051.7355
224	2050.972718
225	2050.028635
226	2049.199379
227	2047.839573
228	2047.082945
229	2046.150321
230	2045.08351
231	2044.412981
232	2043.728653
233	2042.978262
234	2042.266054
235	2041.563509
236	2040.824397
237	2039.87199
238	2038.47047
239	2037.661531
240	2037.039667
241	2036.378784
242	2035.043881
243	2034.451763
244	2033.472931
245	2032.820495
246	2031.434478
247	2030.569474
248	2029.893881
249	2029.410995
250	2028.800765
251	2028.189827
252	2026.963991
253	2026.009535
254	2025.117419
255	2024.662426
256	2023.500605
257	2022.906521
258	2022.30049
259	2021.370777
260	2020.707111
261	2020.194368
262	2019.213921
263	2017.985871
264	2017.397401
265	2016.88865
266	2016.043041
267	2015.218876
268	2014.738642
269	2014.097227
270	2013.419702
271	2012.920141
272	2012.293729
273	2011.793559
274	2010.929902
275	2010.530757
276	2010.097026
277	2009.135698
278	2008.182907
279	2007.482898
280	2006.614445
281	2005.904632
282	2005.260398
283	2004.526688
284	2003.552097
285	2002.737511
286	2002.295019
287	2001.462192
288	2000.694186
289	2000.146065
290	1999.297269
291	1998.960304
292	1998.042958
293	1997.684151
294	1997.195925
295	1996.717217
296	1996.066411
297	1995.098448
298	1994.4015
299	1993.9181
300	1992.978052
301	1992.637019
302	1991.860009
303	1991.424118
304	1990.918305
305	1990.003238
306	1988.999506
307	1988.467768
308	1987.928626
309	1987.083852
310	1986.490284
311	1985.661075
312	1984.700424
313	1983.94222
314	1983.176106
315	1982.268992
316	1981.697814
317	1981.249768
318	1980.858151
319	1979.748116
320	1979.047729
321	1978.649867
322	1977.885164
323	1977.028739
324	1976.306411
325	1975.854561
326	1975.376077
327	1974.772754
328	1974.049757
329	1973.667636
330	1973.183399
331	1972.783133
332	1972.350484
333	1971.566375
334	1971.199001
335	1970.504841
336	1969.904837
337	1969.44509
338	1969.046727
339	1968.057832
340	1967.664886
341	1967.116527
