iter	Passed	Remaining
0	19	13484
1	36	12774
2	51	11940
3	80	14004
4	98	13637
5	118	13665
6	138	13679
7	155	13439
8	178	13687
9	205	14154
10	234	14694
11	251	14394
12	266	14080
13	286	14038
14	307	14033
15	326	13939
16	345	13879
17	364	13825
18	381	13669
19	404	13740
20	431	13951
21	459	14173
22	475	14001
23	492	13872
24	511	13799
25	533	13828
26	552	13763
27	574	13797
28	592	13708
29	606	13534
30	624	13475
31	642	13410
32	665	13445
33	680	13329
34	694	13204
35	710	13099
36	727	13037
37	739	12879
38	759	12868
39	779	12854
40	798	12829
41	820	12856
42	849	12980
43	875	13053
44	895	13036
45	914	13000
46	933	12976
47	956	12992
48	974	12949
49	994	12927
50	1013	12896
51	1030	12845
52	1054	12868
53	1080	12925
54	1102	12930
55	1120	12889
56	1138	12848
57	1155	12790
58	1181	12832
59	1199	12799
60	1220	12780
61	1242	12787
62	1258	12721
63	1283	12758
64	1317	12874
65	1337	12849
66	1350	12763
67	1363	12672
68	1375	12582
69	1393	12539
70	1407	12470
71	1421	12396
72	1435	12329
73	1449	12260
74	1463	12192
75	1480	12159
76	1497	12113
77	1512	12059
78	1529	12023
79	1542	11957
80	1556	11891
81	1569	11827
82	1581	11754
83	1598	11723
84	1615	11686
85	1628	11626
86	1643	11578
87	1656	11521
88	1670	11467
89	1687	11437
90	1702	11393
91	1718	11357
92	1738	11347
93	1752	11301
94	1768	11264
95	1781	11205
96	1793	11147
97	1808	11110
98	1823	11070
99	1838	11032
100	1852	10986
101	1866	10941
102	1884	10923
103	1897	10871
104	1909	10821
105	1924	10785
106	1939	10750
107	1957	10728
108	1974	10703
109	1988	10664
110	2008	10656
111	2029	10653
112	2050	10652
113	2064	10614
114	2081	10587
115	2096	10554
116	2111	10521
117	2124	10477
118	2135	10426
119	2151	10397
120	2166	10365
121	2183	10346
122	2196	10304
123	2209	10261
124	2220	10215
125	2233	10172
126	2248	10143
127	2262	10109
128	2279	10090
129	2294	10060
130	2308	10025
131	2325	10006
132	2338	9967
133	2351	9931
134	2368	9911
135	2382	9881
136	2398	9856
137	2409	9813
138	2421	9774
139	2434	9736
140	2445	9696
141	2459	9662
142	2475	9643
143	2493	9628
144	2506	9592
145	2519	9560
146	2533	9531
147	2547	9500
148	2558	9463
149	2574	9438
150	2588	9411
151	2607	9400
152	2625	9387
153	2638	9354
154	2650	9320
155	2667	9300
156	2683	9279
157	2697	9254
158	2709	9220
159	2724	9195
160	2737	9163
161	2751	9137
162	2763	9105
163	2775	9072
164	2792	9053
165	2808	9033
166	2826	9020
167	2838	8989
168	2850	8957
169	2866	8936
170	2880	8909
171	2897	8895
172	2910	8866
173	2925	8842
174	2937	8813
175	2953	8792
176	2965	8763
177	2979	8737
178	2993	8711
179	3008	8692
180	3026	8677
181	3038	8646
182	3054	8628
183	3066	8598
184	3078	8570
185	3097	8559
186	3110	8532
187	3124	8508
188	3138	8485
189	3152	8461
190	3165	8435
191	3176	8405
192	3191	8383
193	3208	8367
194	3225	8353
195	3253	8365
196	3271	8354
197	3285	8330
198	3299	8307
199	3315	8288
200	3329	8265
201	3340	8236
202	3352	8208
203	3365	8183
204	3379	8160
205	3392	8136
206	3404	8108
207	3423	8098
208	3439	8080
209	3457	8066
210	3469	8039
211	3481	8013
212	3493	7987
213	3505	7961
214	3518	7936
215	3535	7921
216	3547	7896
217	3561	7873
218	3577	7858
219	3591	7834
220	3603	7810
221	3622	7799
222	3637	7779
223	3653	7764
224	3669	7746
225	3681	7720
226	3694	7697
227	3708	7677
228	3725	7661
229	3737	7637
230	3750	7615
231	3764	7593
232	3778	7572
233	3791	7551
234	3803	7525
235	3819	7508
236	3841	7504
237	3863	7499
238	3875	7475
239	3887	7451
240	3899	7426
241	3911	7403
242	3925	7382
243	3940	7364
244	3952	7339
245	3964	7316
246	3978	7296
247	3990	7272
248	4004	7252
249	4015	7228
250	4028	7206
251	4050	7201
252	4072	7195
253	4090	7181
254	4103	7160
255	4116	7138
256	4127	7115
257	4144	7099
258	4157	7078
259	4170	7057
260	4184	7038
261	4197	7016
262	4211	6997
263	4223	6974
264	4244	6967
265	4261	6952
266	4277	6937
267	4289	6914
268	4301	6891
269	4312	6868
270	4330	6855
271	4348	6843
272	4363	6825
273	4379	6808
274	4393	6790
275	4406	6768
276	4418	6747
277	4430	6726
278	4452	6719
279	4469	6703
280	4486	6689
281	4498	6668
282	4510	6646
283	4523	6625
284	4536	6605
285	4553	6591
286	4567	6573
287	4581	6553
288	4599	6540
289	4613	6522
290	4629	6507
291	4642	6486
292	4664	6478
293	4688	6474
294	4709	6465
295	4726	6451
296	4744	6437
297	4766	6430
298	4791	6425
299	4811	6415
300	4828	6401
301	4846	6387
302	4872	6384
303	4896	6377
304	4919	6371
305	4943	6364
306	4958	6348
307	4974	6331
308	4989	6313
309	5003	6294
310	5020	6279
311	5036	6263
